"","onset","scans"
"1",1,"52 152 252 363 464 584 704 819 950 1076 1222 1366 1532 1658 1795 5352 5495 5604 5690 5772 5867 5958 6090 6188 6285 6385 6480 6569 6661 6743"
"2",11,"108 208 307 421 519 639 760 877 1006 1131 1281 1421 1587 1716 1854 5409 5551 5659 5747 5831 5922 6013 6145 6245 6343 6441 6537 6624 6718 6801"
"3",2,"1930 2062 2210 2311 2416 2548 2688 2806 2947 3081 3211 3357 3480 3614 3746 9750 9848 9942 10028 10116 10248 10328 10420 10508 10594 10712 10803 10907 11001 11107"
"4",22,"1986 2117 2266 2369 2475 2605 2746 2861 3004 3140 3269 3412 3539 3670 3804 9809 9903 9997 10083 10175 10385 10477 10567 10650 10768 10861 10962 11060 11164"
"5",3,"3866 3983 4117 4189 4269 4369 4450 4526 4630 4739 4834 4940 5051 5154 5259 8266 8375 8510 8596 8673 8747 8830 8902 8994 9089 9186 9292 9423 9549 9655"
"6",33,"3921 4041 4175 4246 4326 4427 4507 4585 4685 4797 4892 4998 5109 5212 5318 8325 8433 8568 8651 8731 8806 8886 8958 9052 9146 9243 9350 9481 9605 9711"
"7",4,"6835 6930 7019 7127 7231 7320 7419 7522 7642 7731 7825 7937 8009 8077 8169 11248 11348 11442 11542 11640 11737 11862 11962 12057 12149 12246 12335 12421 12503 12589"
"8",44,"6891 6988 7076 7183 7289 7375 7477 7577 7701 7789 7881 7995 8064 8136 8228 11304 11406 11500 11601 11695 11794 11918 12021 12114 12204 12302 12393 12478 12558 12644"
