Version,11.0
EXT Filename,C:\Users\shimadzu\Desktop\Experiment Data\xxk-graduate\txtfile\test1\sub14.csv
Date,
Records,239
Data Folder,
.OMM Filename,
.PROT Filename,60-60-60.pro
Gain Pattern Filename,
Start Time,Protocol Type,Pre.Rest,Task,Pos.Rest
00:00:01.76,1,45.000000,45.000000,0.000000
00:00:03.89,11,45.000000,45.000000,0.000000
00:00:07.27,1,45.000000,45.000000,0.000000
00:00:09.36,11,45.000000,45.000000,0.000000
00:00:11.84,1,45.000000,45.000000,0.000000
00:00:13.82,11,45.000000,45.000000,0.000000
00:00:15.88,1,45.000000,45.000000,0.000000
00:00:17.86,11,45.000000,45.000000,0.000000
00:00:20.27,1,45.000000,45.000000,0.000000
00:00:22.28,11,45.000000,45.000000,0.000000
00:00:24.01,1,45.000000,45.000000,0.000000
00:00:25.99,11,45.000000,45.000000,0.000000
00:00:27.50,1,45.000000,45.000000,0.000000
00:00:29.56,11,45.000000,45.000000,0.000000
00:00:32.54,1,45.000000,45.000000,0.000000
00:00:34.56,11,45.000000,45.000000,0.000000
00:00:36.25,1,45.000000,45.000000,0.000000
00:00:38.34,11,45.000000,45.000000,0.000000
00:00:40.00,1,45.000000,45.000000,0.000000
00:00:41.98,11,45.000000,45.000000,0.000000
00:00:44.10,1,45.000000,45.000000,0.000000
00:00:46.12,11,45.000000,45.000000,0.000000
00:00:47.70,1,45.000000,45.000000,0.000000
00:00:49.75,11,45.000000,45.000000,0.000000
00:00:51.01,1,45.000000,45.000000,0.000000
00:00:53.14,11,45.000000,45.000000,0.000000
00:00:54.43,1,45.000000,45.000000,0.000000
00:00:56.45,11,45.000000,45.000000,0.000000
00:00:58.03,1,45.000000,45.000000,0.000000
00:01:00.12,11,45.000000,45.000000,0.000000
00:01:01.45,2,45.000000,45.000000,0.000000
00:01:03.50,22,45.000000,45.000000,0.000000
00:01:04.84,2,45.000000,45.000000,0.000000
00:01:06.92,22,45.000000,45.000000,0.000000
00:01:08.33,2,45.000000,45.000000,0.000000
00:01:10.42,22,45.000000,45.000000,0.000000
00:01:11.60,2,45.000000,45.000000,0.000000
00:01:13.58,22,45.000000,45.000000,0.000000
00:01:14.92,2,45.000000,45.000000,0.000000
00:01:17.00,22,45.000000,45.000000,0.000000
00:01:18.52,2,45.000000,45.000000,0.000000
00:01:20.50,22,45.000000,45.000000,0.000000
00:01:22.01,2,45.000000,45.000000,0.000000
00:01:24.02,22,45.000000,45.000000,0.000000
00:01:25.50,2,45.000000,45.000000,0.000000
00:01:27.55,22,45.000000,45.000000,0.000000
00:01:28.74,2,45.000000,45.000000,0.000000
00:01:30.86,22,45.000000,45.000000,0.000000
00:01:32.27,2,45.000000,45.000000,0.000000
00:01:34.25,22,45.000000,45.000000,0.000000
00:01:35.44,2,45.000000,45.000000,0.000000
00:01:37.45,22,45.000000,45.000000,0.000000
00:01:38.68,2,45.000000,45.000000,0.000000
00:01:40.76,22,45.000000,45.000000,0.000000
00:01:41.99,2,45.000000,45.000000,0.000000
00:01:44.04,22,45.000000,45.000000,0.000000
00:01:45.44,2,45.000000,45.000000,0.000000
00:01:47.57,22,45.000000,45.000000,0.000000
00:01:48.76,2,45.000000,45.000000,0.000000
00:01:50.84,22,45.000000,45.000000,0.000000
00:01:51.42,3,45.000000,45.000000,0.000000
00:01:53.44,33,45.000000,45.000000,0.000000
00:01:55.88,3,45.000000,45.000000,0.000000
00:01:57.86,33,45.000000,45.000000,0.000000
00:01:58.76,3,45.000000,45.000000,0.000000
00:02:00.74,33,45.000000,45.000000,0.000000
00:02:01.36,3,45.000000,45.000000,0.000000
00:02:03.34,33,45.000000,45.000000,0.000000
00:02:06.40,3,45.000000,45.000000,0.000000
00:02:08.45,33,45.000000,45.000000,0.000000
00:02:09.49,3,45.000000,45.000000,0.000000
00:02:11.47,33,45.000000,45.000000,0.000000
00:02:12.30,3,45.000000,45.000000,0.000000
00:02:14.35,33,45.000000,45.000000,0.000000
00:02:15.11,3,45.000000,45.000000,0.000000
00:02:17.16,33,45.000000,45.000000,0.000000
00:02:17.77,3,45.000000,45.000000,0.000000
00:02:19.86,33,45.000000,45.000000,0.000000
00:02:20.87,3,45.000000,45.000000,0.000000
00:02:22.92,33,45.000000,45.000000,0.000000
00:02:25.26,3,45.000000,45.000000,0.000000
00:02:27.24,33,45.000000,45.000000,0.000000
00:02:28.25,3,45.000000,45.000000,0.000000
00:02:30.34,33,45.000000,45.000000,0.000000
00:02:31.45,3,45.000000,45.000000,0.000000
00:02:33.54,33,45.000000,45.000000,0.000000
00:02:34.44,3,45.000000,45.000000,0.000000
00:02:36.46,33,45.000000,45.000000,0.000000
00:02:37.86,3,45.000000,45.000000,0.000000
00:02:39.91,33,45.000000,45.000000,0.000000
00:02:41.06,1,45.000000,45.000000,0.000000
00:02:43.12,11,45.000000,45.000000,0.000000
00:02:44.27,1,45.000000,45.000000,0.000000
00:02:46.32,11,45.000000,45.000000,0.000000
00:02:47.44,1,45.000000,45.000000,0.000000
00:02:49.45,11,45.000000,45.000000,0.000000
00:02:50.68,1,45.000000,45.000000,0.000000
00:02:52.66,11,45.000000,45.000000,0.000000
00:02:53.77,1,45.000000,45.000000,0.000000
00:02:55.82,11,45.000000,45.000000,0.000000
00:02:56.98,1,45.000000,45.000000,0.000000
00:02:59.86,1,45.000000,45.000000,0.000000
00:03:01.87,11,45.000000,45.000000,0.000000
00:03:02.84,1,45.000000,45.000000,0.000000
00:03:04.97,11,45.000000,45.000000,0.000000
00:03:05.87,1,45.000000,45.000000,0.000000
00:03:07.96,11,45.000000,45.000000,0.000000
00:03:09.14,1,45.000000,45.000000,0.000000
00:03:11.20,11,45.000000,45.000000,0.000000
00:03:12.35,1,45.000000,45.000000,0.000000
00:03:14.44,11,45.000000,45.000000,0.000000
00:03:16.24,1,45.000000,45.000000,0.000000
00:03:18.22,11,45.000000,45.000000,0.000000
00:03:19.44,1,45.000000,45.000000,0.000000
00:03:21.42,11,45.000000,45.000000,0.000000
00:03:22.72,1,45.000000,45.000000,0.000000
00:03:24.73,11,45.000000,45.000000,0.000000
00:03:26.03,1,45.000000,45.000000,0.000000
00:03:28.04,11,45.000000,45.000000,0.000000
00:03:29.34,4,45.000000,45.000000,0.000000
00:03:31.36,44,45.000000,45.000000,0.000000
00:03:32.87,4,45.000000,45.000000,0.000000
00:03:34.85,44,45.000000,45.000000,0.000000
00:03:35.96,4,45.000000,45.000000,0.000000
00:03:38.05,44,45.000000,45.000000,0.000000
00:03:39.17,4,45.000000,45.000000,0.000000
00:03:41.18,44,45.000000,45.000000,0.000000
00:03:42.59,4,45.000000,45.000000,0.000000
00:03:44.64,44,45.000000,45.000000,0.000000
00:03:45.76,4,45.000000,45.000000,0.000000
00:03:47.84,44,45.000000,45.000000,0.000000
00:03:48.96,4,45.000000,45.000000,0.000000
00:03:50.94,44,45.000000,45.000000,0.000000
00:03:52.02,4,45.000000,45.000000,0.000000
00:03:54.14,44,45.000000,45.000000,0.000000
00:03:55.26,4,45.000000,45.000000,0.000000
00:03:57.24,44,45.000000,45.000000,0.000000
00:03:59.58,4,45.000000,45.000000,0.000000
00:04:01.56,44,45.000000,45.000000,0.000000
00:04:02.57,4,45.000000,45.000000,0.000000
00:04:04.66,44,45.000000,45.000000,0.000000
00:04:05.34,4,45.000000,45.000000,0.000000
00:04:07.43,44,45.000000,45.000000,0.000000
00:04:08.00,4,45.000000,45.000000,0.000000
00:04:10.13,44,45.000000,45.000000,0.000000
00:04:10.70,4,45.000000,45.000000,0.000000
00:04:12.79,44,45.000000,45.000000,0.000000
00:04:13.37,4,45.000000,45.000000,0.000000
00:04:15.42,44,45.000000,45.000000,0.000000
00:04:15.92,3,45.000000,45.000000,0.000000
00:04:17.98,33,45.000000,45.000000,0.000000
00:04:18.73,3,45.000000,45.000000,0.000000
00:04:20.75,33,45.000000,45.000000,0.000000
00:04:21.32,3,45.000000,45.000000,0.000000
00:04:23.30,33,45.000000,45.000000,0.000000
00:04:23.70,3,45.000000,45.000000,0.000000
00:04:25.79,33,45.000000,45.000000,0.000000
00:04:26.36,3,45.000000,45.000000,0.000000
00:04:28.38,33,45.000000,45.000000,0.000000
00:04:29.06,3,45.000000,45.000000,0.000000
00:04:31.04,33,45.000000,45.000000,0.000000
00:04:31.69,3,45.000000,45.000000,0.000000
00:04:33.74,33,45.000000,45.000000,0.000000
00:04:34.14,3,45.000000,45.000000,0.000000
00:04:36.19,33,45.000000,45.000000,0.000000
00:04:36.59,3,45.000000,45.000000,0.000000
00:04:38.64,33,45.000000,45.000000,0.000000
00:04:39.68,3,45.000000,45.000000,0.000000
00:04:41.66,33,45.000000,45.000000,0.000000
00:04:42.78,3,45.000000,45.000000,0.000000
00:04:44.76,33,45.000000,45.000000,0.000000
00:04:46.45,3,45.000000,45.000000,0.000000
00:04:48.47,33,45.000000,45.000000,0.000000
00:04:49.55,3,45.000000,45.000000,0.000000
00:04:51.67,33,45.000000,45.000000,0.000000
00:04:52.54,3,45.000000,45.000000,0.000000
00:04:54.55,33,45.000000,45.000000,0.000000
00:04:55.85,3,45.000000,45.000000,0.000000
00:04:57.94,33,45.000000,45.000000,0.000000
00:04:58.98,2,45.000000,45.000000,0.000000
00:05:01.07,22,45.000000,45.000000,0.000000
00:05:02.15,2,45.000000,45.000000,0.000000
00:05:04.27,22,45.000000,45.000000,0.000000
00:05:05.24,2,45.000000,45.000000,0.000000
00:05:07.26,22,45.000000,45.000000,0.000000
00:05:08.77,2,45.000000,45.000000,0.000000
00:05:10.75,22,45.000000,45.000000,0.000000
00:05:11.98,2,45.000000,45.000000,0.000000
00:05:13.96,22,45.000000,45.000000,0.000000
00:05:14.96,2,45.000000,45.000000,0.000000
00:05:17.05,22,45.000000,45.000000,0.000000
00:05:18.13,2,45.000000,45.000000,0.000000
00:05:20.11,22,45.000000,45.000000,0.000000
00:05:21.34,2,45.000000,45.000000,0.000000
00:05:23.32,22,45.000000,45.000000,0.000000
00:05:24.43,2,45.000000,45.000000,0.000000
00:05:26.48,22,45.000000,45.000000,0.000000
00:05:28.14,2,45.000000,45.000000,0.000000
00:05:30.12,22,45.000000,45.000000,0.000000
00:05:31.24,2,45.000000,45.000000,0.000000
00:05:33.32,22,45.000000,45.000000,0.000000
00:05:34.44,2,45.000000,45.000000,0.000000
00:05:36.46,22,45.000000,45.000000,0.000000
00:05:37.50,2,45.000000,45.000000,0.000000
00:05:39.55,22,45.000000,45.000000,0.000000
00:05:41.03,2,45.000000,45.000000,0.000000
00:05:43.15,22,45.000000,45.000000,0.000000
00:05:44.12,2,45.000000,45.000000,0.000000
00:05:46.25,22,45.000000,45.000000,0.000000
00:05:47.33,4,45.000000,45.000000,0.000000
00:05:49.31,44,45.000000,45.000000,0.000000
00:05:50.60,4,45.000000,45.000000,0.000000
00:05:52.69,44,45.000000,45.000000,0.000000
00:05:53.81,4,45.000000,45.000000,0.000000
00:05:55.90,44,45.000000,45.000000,0.000000
00:05:57.01,4,45.000000,45.000000,0.000000
00:05:59.06,44,45.000000,45.000000,0.000000
00:06:00.11,4,45.000000,45.000000,0.000000
00:06:02.09,44,45.000000,45.000000,0.000000
00:06:03.20,4,45.000000,45.000000,0.000000
00:06:05.18,44,45.000000,45.000000,0.000000
00:06:06.41,4,45.000000,45.000000,0.000000
00:06:08.42,44,45.000000,45.000000,0.000000
00:06:09.50,4,45.000000,45.000000,0.000000
00:06:11.59,44,45.000000,45.000000,0.000000
00:06:12.60,4,45.000000,45.000000,0.000000
00:06:14.69,44,45.000000,45.000000,0.000000
00:06:15.80,4,45.000000,45.000000,0.000000
00:06:17.89,44,45.000000,45.000000,0.000000
00:06:19.73,4,45.000000,45.000000,0.000000
00:06:21.71,44,45.000000,45.000000,0.000000
00:06:22.39,4,45.000000,45.000000,0.000000
00:06:24.41,44,45.000000,45.000000,0.000000
00:06:27.29,4,45.000000,45.000000,0.000000
00:06:29.30,44,45.000000,45.000000,0.000000
00:06:29.99,4,45.000000,45.000000,0.000000
00:06:32.08,44,45.000000,45.000000,0.000000
00:06:32.47,4,45.000000,45.000000,0.000000
00:06:34.56,44,45.000000,45.000000,0.000000
