"","onset","scans"
"1",1,"49 148 248 351 462 565 668 788 899 999 1133 1287 1412 1540 1646 5262 5370 5458 5558 5664 5767 5923 6029 6143 6237 6374 6471 6577 6691 6787"
"2",11,"106 205 303 408 517 620 723 845 954 1056 1189 1344 1467 1599 1701 5319 5425 5517 5614 5722 5825 5978 6087 6201 6295 6431 6529 6635 6748 6843"
"3",2,"1752 1863 1957 2065 2165 2302 2399 2498 2605 2707 2810 2935 3075 3201 3311 10199 10287 10375 10478 10576 10678 10778 10878 10987 11081 11192 11295 11417 11520 11608"
"4",22,"1809 1921 2015 2120 2224 2360 2457 2555 2660 2765 2865 2993 3133 3256 3366 10256 10342 10433 10536 10633 10733 10836 10934 11043 11136 11250 11352 11475 11577 11666"
"5",3,"3394 3485 3591 3702 3884 3978 4124 4232 4364 4489 4598 4746 4883 5008 5113 8510 8599 8681 8784 8915 9072 9169 9254 9340 9494 9626 9742 9840 9971 10088"
"6",33,"3452 3543 3648 3760 3942 4036 4181 4289 4421 4547 4655 4801 4939 5066 5168 8568 8657 8739 8842 8974 9127 9224 9310 9398 9552 9681 9798 9895 10026 10146"
"7",4,"6882 6987 7098 7192 7341 7435 7538 7641 7797 7888 7979 8051 8142 8331 8419 11710 11822 11973 12081 12184 12324 12429 12558 12689 12817 12939 13073 13167 13265 13347"
"8",44,"6937 7042 7156 7247 7396 7490 7595 7698 7854 7946 8035 8108 8201 8388 8475 11766 11880 12031 12140 12242 12379 12485 12613 12744 12872 12995 13129 13222 13322 13403"
