"","onset","scans"
"1",1,"51 169 281 366 472 583 678 793 893 993 1093 1201 1302 1399 1505 4407 4507 4596 4685 4773 4865 4956 5045 5142 5233 5325 5417 5508 5605 5694"
"2",11,"110 227 336 423 530 642 736 848 951 1048 1151 1257 1359 1454 1560 4466 4562 4651 4741 4831 4920 5011 5102 5200 5288 5382 5473 5565 5660 5751"
"3",2,"1599 1693 1791 1899 1991 2088 2213 2303 2399 2494 2600 2705 2803 2894 2989 8487 8582 8682 8785 8882 8977 9077 9165 9257 9351 9437 9528 9625 9714 9803"
"4",22,"1657 1752 1848 1954 2046 2146 2269 2360 2457 2550 2658 2764 2858 2950 3044 8543 8638 8738 8843 8938 9032 9133 9223 9313 9406 9495 9586 9680 9770 9858"
"5",3,"3063 3144 3229 3315 3398 3478 3558 3635 3718 3815 3907 4001 4101 4204 4313 7221 7301 7373 7447 7519 7593 7665 7736 7821 7910 7999 8090 8199 8287 8385"
"6",33,"3120 3202 3284 3373 3456 3533 3614 3690 3774 3874 3965 4058 4156 4260 4368 7279 7356 7430 7502 7574 7648 7720 7794 7877 7966 8054 8148 8257 8346 8440"
"7",4,"5785 5880 6006 6109 6209 6309 6412 6506 6601 6701 6815 6903 6981 7055 7135 9897 9989 10077 10166 10255 10352 10464 10561 10656 10753 10848 10928 11002 11122 11213"
"8",44,"5841 5938 6061 6167 6266 6364 6470 6563 6658 6758 6873 6961 7036 7113 7193 9952 10044 10132 10222 10310 10408 10521 10617 10712 10809 10906 10983 11060 11180 11269"
