"","onset","scans"
"1",1,"52 206 328 417 505 594 682 770 859 948 1042 1128 1213 1302 1399 4062 4168 4260 4348 4434 4522 4610 4699 4788 4876 4968 5067 5156 5247 5336"
"2",11,"107 263 387 472 561 650 737 826 915 1005 1097 1185 1271 1360 1454 4121 4223 4315 4403 4491 4580 4666 4754 4843 4933 5025 5125 5211 5305 5393"
"3",2,"1484 1573 1662 1747 1846 1932 2018 2104 2196 2284 2376 2472 2564 2670 2769 8294 8388 8477 8565 8654 8742 8834 8925 9031 9122 9211 9300 9394 9482 9568"
"4",22,"1540 1631 1717 1805 1902 1988 2077 2162 2252 2342 2432 2527 2622 2727 2827 8352 8446 8533 8623 8712 8797 8892 8981 9086 9177 9269 9355 9449 9539 9626"
"5",3,"2855 2926 3003 3072 3146 3218 3286 3360 3434 3520 3606 3692 3777 3886 3974 7003 7080 7158 7229 7303 7374 7446 7518 7592 7700 7786 7872 7988 8097 8206"
"6",33,"2912 2984 3059 3130 3201 3273 3344 3415 3489 3575 3664 3748 3835 3943 4032 7059 7135 7215 7287 7359 7430 7504 7575 7647 7755 7843 7929 8046 8152 8261"
"7",4,"5427 5516 5604 5692 5787 5930 6018 6106 6221 6438 6560 6669 6744 6809 6914 9656 9748 9836 9924 10010 10096 10181 10292 10381 10466 10558 10626 10701 10790 10861"
"8",44,"5483 5573 5662 5750 5845 5988 6076 6162 6279 6496 6619 6725 6867 6973 9714 9806 9894 9980 10068 10153 10239 10351 10436 10525 10613 10684 10756 10847 10919"
