"","onset","scans"
"1",1,"49 155 307 411 509 607 704 819 912 1011 1114 1211 1306 1395 1490 4314 4411 4535 4649 4735 4847 4933 5019 5125 5213 5305 5394 5492 5586 5681"
"2",11,"108 211 363 466 566 664 760 874 969 1066 1172 1267 1362 1453 1546 4372 4467 4592 4705 4791 4902 4990 5077 5180 5269 5360 5450 5550 5643 5736"
"3",2,"1585 1677 1775 1863 1961 2053 2153 2245 2411 2503 2595 2681 2778 2879 2971 8303 8403 8493 8595 8693 8787 8959 9100 9303 9395 9485 9576 9662 9751 9843"
"4",22,"1640 1732 1832 1922 2016 2111 2208 2303 2469 2561 2650 2738 2834 2936 3029 8358 8462 8548 8651 8748 8842 9014 9156 9358 9451 9543 9632 9720 9806 9901"
"5",3,"3045 3135 3213 3293 3370 3445 3517 3588 3667 3757 3852 3941 4027 4122 4225 7031 7117 7192 7267 7341 7416 7488 7559 7631 7720 7806 7907 8001 8105 8211"
"6",33,"3104 3194 3270 3351 3427 3500 3574 3644 3724 3813 3908 3996 4086 4180 4284 7089 7173 7248 7325 7396 7474 7546 7618 7690 7776 7862 7962 8060 8160 8270"
"7",4,"5770 5862 5954 6045 6135 6229 6317 6406 6493 6581 6667 6741 6813 6882 6959 9931 10020 10106 10198 10287 10378 10467 10559 10649 10741 10827 10909 10981 11053 11125"
"8",44,"5826 5918 6009 6103 6190 6286 6373 6463 6550 6639 6725 6797 6869 6940 7018 9989 10078 10164 10253 10342 10435 10526 10615 10706 10796 10885 10965 11037 11108 11183"
