"","onset","scans"
"1",1,"51 157 347 461 632 726 812 1006 1106 1201 1303 1437 1545 1693 1884 4981 5075 5163 5252 5340 5437 5540 5634 5722 5811 5899 5993 6082 6170 6261"
"2",11,"106 214 402 516 690 782 868 1061 1164 1258 1361 1494 1602 1751 1942 5038 5130 5222 5310 5398 5495 5598 5692 5781 5869 5957 6048 6139 6228 6319"
"3",2,"2009 2124 2244 2338 2446 2588 2691 2788 2876 2956 3070 3167 3269 3383 3486 9221 9307 9395 9501 9589 9677 9760 9860 9948 10042 10130 10219 10310 10407 10487"
"4",22,"2065 2181 2299 2393 2501 2646 2746 2843 2931 3011 3125 3222 3324 3442 3543 9276 9365 9450 9558 9646 9735 9816 9916 10003 10099 10188 10276 10365 10542"
"5",3,"3578 3674 3832 3912 3991 4097 4182 4262 4336 4433 4527 4616 4707 4801 4892 7901 7990 8078 8153 8241 8320 8394 8480 8554 8643 8722 8817 8917 9013 9130"
"6",33,"3634 3732 3887 3970 4048 4152 4240 4317 4393 4491 4582 4673 4762 4859 4950 7959 8045 8136 8210 8299 8379 8450 8538 8610 8778 8872 8972 9068 9187"
"7",4,"6350 6470 6590 6695 6784 6872 7037 7140 7271 7362 7462 7536 7662 7736 7819 10581 10677 10766 10860 10948 11045 11227 11325 11427 11515 11601 11675 11752 11829 11900"
"8",44,"6408 6528 6645 6751 6839 6929 7092 7197 7329 7421 7517 7592 7719 7793 7874 10638 10736 10824 10918 11004 11103 11285 11382 11485 11573 11659 11731 11807 11887 11959"
