"","onset","scans"
"1",1,"51 160 271 414 517 617 722 828 923 1017 1112 1203 1317 1420 1514 4580 4672 4760 4866 4969 5064 5158 5249 5358 5455 5546 5644 5741 5844 5946"
"2",11,"109 216 327 469 575 672 778 887 980 1074 1169 1260 1375 1479 1570 4638 4727 4818 4921 5025 5119 5213 5306 5416 5512 5602 5699 5796 5899 6005"
"3",2,"1612 1734 1838 1940 2035 2132 2224 2321 2426 2518 2610 2704 2796 2887 2984 8897 8989 9086 9175 9260 9392 9489 9584 9678 9781 9876 9973 10064 10159 10273"
"4",22,"1670 1790 1894 1996 2092 2187 2279 2376 2482 2573 2665 2759 2854 2944 3043 8955 9044 9141 9233 9316 9450 9547 9641 9733 9837 9931 10031 10123 10214 10331"
"5",3,"3068 3144 3279 3362 3476 3565 3645 3726 3806 3906 4063 4174 4272 4372 4469 7504 7582 7665 7748 7854 7931 8037 8122 8206 8300 8397 8491 8606 8700 8797"
"6",33,"3125 3200 3335 3417 3532 3623 3702 3783 3863 3963 4121 4230 4330 4430 4525 7562 7640 7720 7803 7909 7989 8095 8181 8261 8355 8452 8549 8661 8758 8853"
"7",4,"6038 6135 6258 6361 6461 6573 6667 6762 6882 6979 7079 7190 7273 7339 7436 10368 10479 10576 10668 10768 10860 10952 11043 11154 11266 11358 11438 11515 11604 11704"
"8",44,"6096 6191 6315 6418 6519 6628 6723 6819 6937 7037 7134 7245 7397 7494 10425 10535 10631 10723 10823 10917 11009 11101 11209 11323 11413 11493 11571 11659 11759"
