"","onset","scans"
"1",1,"55 135 249 393 497 603 709 817 925 1032 1144 1251 1359 1463 1569 4775 4875 4973 5050 5217 5312 5413 5507 5593 5693 5785 5885 5977 6059 6165"
"2",11,"110 190 307 449 552 661 764 875 984 1090 1201 1309 1415 1521 1624 4832 4930 5028 5108 5276 5369 5468 5566 5651 5749 5844 5940 6035 6118 6223"
"3",2,"1671 1781 1881 1990 2087 2185 2291 2395 2492 2598 2695 2796 2893 2991 3101 9086 9175 9261 9350 9442 9537 9625 9715 9807 9975 10059 10205 10306 10403 10495"
"4",22,"1730 1836 1938 2046 2145 2243 2350 2450 2548 2654 2754 2854 2952 3050 3156 9143 9230 9317 9408 9499 9592 9681 9770 9865 10034 10118 10261 10364 10461 10554"
"5",3,"3181 3285 3368 3459 3548 3643 3760 3898 4004 4107 4228 4326 4421 4571 4673 7733 7821 7913 7993 8071 8149 8232 8307 8393 8491 8583 8681 8805 8902 8997"
"6",33,"3240 3343 3425 3518 3604 3698 3817 3954 4060 4166 4284 4382 4480 4628 4732 7788 7877 7971 8049 8126 8207 8289 8364 8448 8546 8641 8738 8862 8960 9052"
"7",4,"6261 6393 6493 6589 6680 6792 6898 7003 7127 7236 7328 7417 7497 7569 7659 10584 10673 10765 10856 10947 11048 11215 11321 11511 11608 11697 11777 11851 11929 12001"
"8",44,"6316 6451 6552 6644 6736 6847 6953 7062 7182 7293 7386 7475 7554 7628 7714 10641 10730 10820 10914 11005 11105 11274 11380 11569 11664 11755 11832 11907 11984 12058"
