Version,11.0
EXT Filename,C:\Users\shimadzu\Desktop\Experiment Data\xxk-graduate\txtfile\test1\sub5.csv
Date,
Records,239
Data Folder,
.OMM Filename,
.PROT Filename,60-60-60.pro
Gain Pattern Filename,
Start Time,Protocol Type,Pre.Rest,Task,Pos.Rest
00:00:01.91,1,45.000000,45.000000,0.000000
00:00:03.89,11,45.000000,45.000000,0.000000
00:00:04.97,1,45.000000,45.000000,0.000000
00:00:06.98,11,45.000000,45.000000,0.000000
00:00:08.93,1,45.000000,45.000000,0.000000
00:00:10.91,11,45.000000,45.000000,0.000000
00:00:16.45,1,45.000000,45.000000,0.000000
00:00:18.43,11,45.000000,45.000000,0.000000
00:00:22.50,1,45.000000,45.000000,0.000000
00:00:24.55,11,45.000000,45.000000,0.000000
00:00:26.50,1,45.000000,45.000000,0.000000
00:00:28.55,11,45.000000,45.000000,0.000000
00:00:30.53,1,45.000000,45.000000,0.000000
00:00:32.51,11,45.000000,45.000000,0.000000
00:00:35.35,1,45.000000,45.000000,0.000000
00:00:37.44,11,45.000000,45.000000,0.000000
00:00:39.60,1,45.000000,45.000000,0.000000
00:00:41.69,11,45.000000,45.000000,0.000000
00:00:43.49,1,45.000000,45.000000,0.000000
00:00:45.50,11,45.000000,45.000000,0.000000
00:00:47.63,1,45.000000,45.000000,0.000000
00:00:49.61,11,45.000000,45.000000,0.000000
00:00:51.88,1,45.000000,45.000000,0.000000
00:00:53.86,11,45.000000,45.000000,0.000000
00:00:56.48,1,45.000000,45.000000,0.000000
00:00:58.57,11,45.000000,45.000000,0.000000
00:01:02.14,1,45.000000,45.000000,0.000000
00:01:04.12,11,45.000000,45.000000,0.000000
00:01:05.74,1,45.000000,45.000000,0.000000
00:01:07.82,11,45.000000,45.000000,0.000000
00:01:09.26,2,45.000000,45.000000,0.000000
00:01:11.24,22,45.000000,45.000000,0.000000
00:01:12.65,2,45.000000,45.000000,0.000000
00:01:14.74,22,45.000000,45.000000,0.000000
00:01:16.57,2,45.000000,45.000000,0.000000
00:01:18.66,22,45.000000,45.000000,0.000000
00:01:22.37,2,45.000000,45.000000,0.000000
00:01:24.35,22,45.000000,45.000000,0.000000
00:01:26.08,2,45.000000,45.000000,0.000000
00:01:28.16,22,45.000000,45.000000,0.000000
00:01:29.68,2,45.000000,45.000000,0.000000
00:01:31.76,22,45.000000,45.000000,0.000000
00:01:34.43,2,45.000000,45.000000,0.000000
00:01:36.41,22,45.000000,45.000000,0.000000
00:01:38.82,2,45.000000,45.000000,0.000000
00:01:40.84,22,45.000000,45.000000,0.000000
00:01:43.36,2,45.000000,45.000000,0.000000
00:01:45.37,22,45.000000,45.000000,0.000000
00:01:47.89,2,45.000000,45.000000,0.000000
00:01:50.02,22,45.000000,45.000000,0.000000
00:01:52.03,2,45.000000,45.000000,0.000000
00:01:54.12,22,45.000000,45.000000,0.000000
00:01:56.64,2,45.000000,45.000000,0.000000
00:01:58.73,22,45.000000,45.000000,0.000000
00:02:00.38,2,45.000000,45.000000,0.000000
00:02:02.47,22,45.000000,45.000000,0.000000
00:02:08.09,2,45.000000,45.000000,0.000000
00:02:10.21,22,45.000000,45.000000,0.000000
00:02:14.93,2,45.000000,45.000000,0.000000
00:02:16.91,22,45.000000,45.000000,0.000000
00:02:19.25,3,45.000000,45.000000,0.000000
00:02:21.34,33,45.000000,45.000000,0.000000
00:02:22.02,3,45.000000,45.000000,0.000000
00:02:24.00,33,45.000000,45.000000,0.000000
00:02:26.56,3,45.000000,45.000000,0.000000
00:02:28.64,33,45.000000,45.000000,0.000000
00:02:29.33,3,45.000000,45.000000,0.000000
00:02:31.34,33,45.000000,45.000000,0.000000
00:02:33.54,3,45.000000,45.000000,0.000000
00:02:35.66,33,45.000000,45.000000,0.000000
00:02:36.92,3,45.000000,45.000000,0.000000
00:02:39.01,33,45.000000,45.000000,0.000000
00:02:40.34,3,45.000000,45.000000,0.000000
00:02:42.32,33,45.000000,45.000000,0.000000
00:02:43.12,3,45.000000,45.000000,0.000000
00:02:45.20,33,45.000000,45.000000,0.000000
00:02:46.10,3,45.000000,45.000000,0.000000
00:02:48.19,33,45.000000,45.000000,0.000000
00:02:49.60,3,45.000000,45.000000,0.000000
00:02:51.65,33,45.000000,45.000000,0.000000
00:02:52.87,3,45.000000,45.000000,0.000000
00:02:54.92,33,45.000000,45.000000,0.000000
00:02:56.40,3,45.000000,45.000000,0.000000
00:02:58.42,33,45.000000,45.000000,0.000000
00:03:02.99,3,45.000000,45.000000,0.000000
00:03:05.11,33,45.000000,45.000000,0.000000
00:03:07.63,3,45.000000,45.000000,0.000000
00:03:09.72,33,45.000000,45.000000,0.000000
00:03:12.56,3,45.000000,45.000000,0.000000
00:03:14.69,33,45.000000,45.000000,0.000000
00:03:15.88,1,45.000000,45.000000,0.000000
00:03:17.93,11,45.000000,45.000000,0.000000
00:03:20.30,1,45.000000,45.000000,0.000000
00:03:22.28,11,45.000000,45.000000,0.000000
00:03:23.58,1,45.000000,45.000000,0.000000
00:03:25.67,11,45.000000,45.000000,0.000000
00:03:27.29,1,45.000000,45.000000,0.000000
00:03:29.41,11,45.000000,45.000000,0.000000
00:03:30.89,1,45.000000,45.000000,0.000000
00:03:33.01,11,45.000000,45.000000,0.000000
00:03:35.71,1,45.000000,45.000000,0.000000
00:03:37.80,11,45.000000,45.000000,0.000000
00:03:39.96,1,45.000000,45.000000,0.000000
00:03:42.05,11,45.000000,45.000000,0.000000
00:03:43.96,1,45.000000,45.000000,0.000000
00:03:46.08,11,45.000000,45.000000,0.000000
00:03:47.38,1,45.000000,45.000000,0.000000
00:03:49.46,11,45.000000,45.000000,0.000000
00:03:50.76,1,45.000000,45.000000,0.000000
00:03:52.78,11,45.000000,45.000000,0.000000
00:03:54.36,1,45.000000,45.000000,0.000000
00:03:56.38,11,45.000000,45.000000,0.000000
00:03:59.40,1,45.000000,45.000000,0.000000
00:04:01.45,11,45.000000,45.000000,0.000000
00:04:04.48,1,45.000000,45.000000,0.000000
00:04:06.49,11,45.000000,45.000000,0.000000
00:04:07.75,1,45.000000,45.000000,0.000000
00:04:09.73,11,45.000000,45.000000,0.000000
00:04:10.96,1,45.000000,45.000000,0.000000
00:04:13.04,11,45.000000,45.000000,0.000000
00:04:14.45,4,45.000000,45.000000,0.000000
00:04:16.50,44,45.000000,45.000000,0.000000
00:04:18.98,4,45.000000,45.000000,0.000000
00:04:20.96,44,45.000000,45.000000,0.000000
00:04:23.92,4,45.000000,45.000000,0.000000
00:04:26.00,44,45.000000,45.000000,0.000000
00:04:28.67,4,45.000000,45.000000,0.000000
00:04:30.72,44,45.000000,45.000000,0.000000
00:04:32.48,4,45.000000,45.000000,0.000000
00:04:34.46,44,45.000000,45.000000,0.000000
