"","onset","scans"
"1",1,"51 149 277 449 560 661 746 838 927 1147 1361 1496 1601 1696 1799 5531 5631 5720 5846 5937 6034 6231 6329 6420 6517 6660 6752 6849 6943 7041"
"2",11,"106 207 332 507 618 716 805 897 985 1202 1420 1551 1657 1754 1855 5586 5689 5778 5901 5992 6092 6286 6386 6478 6573 6716 6810 6908 7002 7096"
"3",2,"1882 1974 2086 2180 2277 2375 2466 2567 2658 2759 2862 2956 3153 3253 3419 10100 10200 10288 10377 10463 10634 10732 10832 10921 11018 11119 11211 11303 11394 11497"
"4",22,"1941 2032 2143 2238 2336 2433 2522 2622 2716 2816 2919 3014 3212 3308 3477 10158 10258 10343 10432 10520 10693 10790 10887 10977 11074 11177 11269 11358 11449 11555"
"5",3,"3614 3742 3922 4000 4077 4146 4215 4343 4509 4598 4770 4927 5042 5204 5425 8720 8826 8906 9006 9095 9186 9269 9353 9430 9530 9624 9719 9810 9908 10014"
"6",33,"3669 3800 3980 4058 4132 4203 4270 4402 4565 4657 4826 4985 5097 5263 5480 8776 8881 8964 9065 9151 9244 9328 9408 9488 9585 9681 9774 9865 9966 10069"
"7",4,"7135 7232 7332 7427 7512 7731 7834 8011 8091 8240 8332 8404 8475 8560 8638 11585 11680 11772 11926 12132 12227 12319 12419 12533 12628 12722 12800 12874 12954 13028"
"8",44,"7190 7288 7387 7482 7570 7787 7892 8146 8295 8387 8459 8533 8616 8693 11644 11737 11827 11981 12190 12284 12374 12474 12589 12684 12777 12855 12932 13012 13086"
