"","onset","scans"
"1",1,"51 159 251 339 439 527 624 712 810 907 998 1092 1187 1283 1383 4358 4549 4637 4726 4811 4899 5011 5106 5194 5288 5388 5491 5582 5682 5771"
"2",11,"106 217 306 397 494 582 679 771 868 962 1057 1149 1243 1338 1438 4416 4607 4692 4783 4869 4958 5069 5161 5249 5347 5445 5549 5638 5740 5828"
"3",2,"1563 1651 1748 1846 1937 2034 2125 2219 2307 2396 2487 2576 2668 2762 2850 8765 8856 8944 9035 9150 9246 9364 9458 9552 9644 9732 9821 9911 10000 10140"
"4",22,"1620 1709 1806 1901 1995 2091 2184 2274 2363 2452 2543 2634 2725 2817 2905 8822 8913 9001 9094 9208 9305 9419 9513 9611 9702 9789 9877 9967 10055 10198"
"5",3,"2924 3002 3175 3259 3341 3415 3495 3581 3670 3766 3860 3978 4078 4166 4266 7463 7557 7631 7706 7780 7868 7948 8028 8114 8206 8303 8394 8485 8579 8673"
"6",33,"2983 3059 3233 3314 3396 3473 3553 3638 3727 3825 3916 4036 4133 4225 4321 7518 7615 7687 7763 7835 7924 8007 8087 8169 8264 8360 8452 8540 8634 8728"
"7",4,"5865 5973 6099 6210 6308 6507 6641 6758 6875 6966 7058 7130 7215 7312 7386 10237 10328 10502 10594 10699 10791 10879 10993 11093 11182 11262 11344 11416 11499 11607"
"8",44,"5920 6031 6154 6268 6365 6562 6699 6816 6931 7022 7113 7187 7273 7370 7443 10295 10383 10558 10652 10758 10846 10937 11048 11151 11317 11402 11473 11557 11664"
