"","onset","scans"
"1",1,"49 152 255 355 447 635 715 813 910 1010 1104 1190 1293 1402 1499 4648 4753 4853 4953 5045 5140 5237 5335 5437 5535 5635 5735 5835 5935 6043"
"2",11,"107 210 312 414 504 771 871 967 1069 1160 1249 1351 1460 1554 4706 4809 4912 5012 5101 5195 5292 5392 5495 5592 5691 5790 5892 5993 6102"
"3",2,"1582 1693 1796 1891 1988 2091 2188 2285 2396 2488 2574 2682 2776 2876 2976 9154 9262 9354 9454 9565 9651 9751 9849 9957 10054 10160 10248 10346 10443 10549"
"4",22,"1640 1751 1853 1948 2046 2146 2246 2343 2452 2545 2632 2737 2835 2934 3035 9209 9318 9411 9511 9621 9710 9809 9906 10015 10112 10218 10306 10402 10498 10607"
"5",3,"3077 3237 3328 3434 3523 3640 3729 3821 3912 4023 4112 4213 4350 4453 4553 7680 7766 7855 7935 8041 8164 8276 8359 8445 8556 8642 8750 8848 8956 9060"
"6",33,"3135 3295 3386 3490 3579 3695 3786 3878 3967 4079 4168 4268 4408 4510 4611 7736 7821 7910 7991 8098 8220 8331 8417 8501 8611 8700 8806 8903 9015 9117"
"7",4,"6153 6249 6355 6461 6559 6664 6773 6873 6982 7076 7173 7253 7325 7480 7589 10655 10764 10855 10959 11050 11156 11256 11354 11457 11563 11654 11751 11863 11942 12034"
"8",44,"6208 6308 6411 6517 6617 6721 6831 6931 7037 7134 7232 7312 7384 7536 7644 10710 10820 10913 11014 11109 11211 11314 11410 11512 11620 11709 11806 11918 12001 12092"
