"","onset","scans"
"1",1,"48 146 240 340 432 535 629 729 826 926 1020 1118 1220 1317 1411 4285 4374 4460 4548 4637 4725 4814 4909 4994 5086 5183 5268 5357 5443 5528"
"2",11,"107 201 295 396 489 590 688 785 885 984 1078 1173 1276 1376 1470 4341 4429 4516 4604 4692 4784 4871 4964 5050 5144 5238 5326 5415 5500 5586"
"3",2,"1511 1606 1706 1815 1931 2029 2123 2211 2310 2421 2530 2616 2710 2813 2901 8126 8209 8294 8380 8463 8549 8640 8734 8823 8908 8994 9080 9163 9249 9332"
"4",22,"1567 1661 1761 1872 1990 2087 2181 2267 2365 2479 2585 2674 2765 2868 2959 8181 8264 8352 8435 8521 8604 8699 8792 8880 8967 9049 9135 9221 9305 9390"
"5",3,"2976 3047 3119 3201 3282 3371 3457 3539 3617 3717 3802 3893 3991 4085 4191 6881 6970 7047 7119 7199 7270 7347 7431 7502 7597 7682 7771 7857 7942 8034"
"6",33,"3033 3106 3174 3260 3340 3426 3512 3594 3672 3772 3860 3949 4049 4142 4248 6939 7025 7102 7174 7254 7326 7403 7489 7559 7652 7740 7826 7912 8001 8089"
"7",4,"5620 5709 5797 5886 5989 6078 6166 6252 6344 6432 6515 6595 6664 6735 6813 9421 9509 9597 9681 9766 9849 9938 10024 10112 10218 10300 10372 10441 10509 10581"
"8",44,"5678 5766 5855 5944 6047 6133 6225 6309 6401 6487 6574 6651 6722 6793 6868 9478 9567 9653 9738 9823 9907 9993 10080 10170 10273 10359 10428 10499 10568 10636"
