"","onset","scans"
"1",1,"52 232 364 464 568 654 764 898 995 1098 1192 1299 1419 1520 1612 5158 5301 5392 5484 5582 5668 5757 5878 5972 6082 6173 6264 6356 6453 6571"
"2",11,"109 290 420 523 626 710 822 956 1053 1153 1251 1357 1475 1579 1671 5213 5359 5451 5539 5637 5724 5814 5935 6028 6139 6231 6321 6414 6509 6629"
"3",2,"1706 1810 1921 2030 2179 2282 2469 2587 2685 2800 2898 2999 3174 3285 3402 9961 10122 10252 10406 10512 10621 10736 10833 10918 11018 11236 11353 11450 11556 11648"
"4",22,"1765 1865 1979 2088 2237 2341 2528 2645 2743 2856 2957 3055 3229 3343 3461 10019 10177 10307 10465 10571 10677 10791 10891 10977 11077 11294 11411 11508 11611 11706"
"5",3,"3491 3582 3728 3834 4034 4120 4210 4304 4385 4500 4606 4700 4832 4926 5058 8380 8494 8594 8695 8846 8936 9034 9115 9212 9307 9404 9530 9636 9762 9854"
"6",33,"3549 3641 3787 3889 4092 4176 4268 4360 4441 4556 4665 4756 4887 4985 5113 8438 8553 8650 8750 8905 8992 9092 9170 9270 9363 9463 9586 9692 9820 9910"
"7",4,"6662 6832 6952 7052 7170 7270 7368 7468 7620 7747 7856 7942 8043 8168 8248 11770 11896 12002 12122 12258 12407 12528 12616 12720 12862 12960 13042 13120 13194 13289"
"8",44,"6720 6888 7011 7110 7228 7328 7423 7523 7676 7803 7914 8000 8098 8224 8306 11826 11954 12059 12181 12316 12465 12586 12675 12775 12920 13018 13098 13175 13253 13347"
