"","onset","scans"
"1",1,"52 192 298 436 544 653 762 943 1091 1206 1303 1452 1578 1678 1775 5179 5273 5362 5447 5534 5625 5783 5869 5955 6041 6130 6225 6310 6399 6488"
"2",11,"109 250 357 493 603 711 820 999 1150 1261 1361 1511 1636 1734 1830 5237 5328 5417 5503 5591 5683 5841 5926 6010 6099 6187 6280 6368 6455 6545"
"3",2,"1867 1970 2081 2233 2339 2442 2540 2646 2766 2866 2963 3046 3181 3318 3475 9387 9473 9573 9659 9742 9828 9914 10001 10089 10172 10261 10353 10445 10542 10631"
"4",22,"1925 2027 2139 2289 2397 2501 2597 2701 2824 2921 3021 3104 3238 3376 3534 9445 9531 9632 9718 9800 9887 9973 10059 10145 10231 10320 10411 10503 10597 10686"
"5",3,"3604 3693 3781 3867 4005 4070 4171 4266 4360 4463 4598 4715 4819 4973 5093 7923 8015 8100 8181 8264 8341 8432 8530 8608 8742 8840 8935 9044 9138 9256"
"6",33,"3660 3748 3840 3922 4129 4228 4322 4417 4520 4656 4773 4874 5028 5148 7978 8072 8156 8238 8322 8399 8491 8586 8665 8800 8895 8993 9099 9194 9311"
"7",4,"6605 6723 6809 6892 6987 7072 7155 7247 7341 7424 7539 7610 7686 7766 7848 10722 10816 10908 11017 11105 11238 11352 11441 11538 11699 11791 11906 11992 12072 12181"
"8",44,"6661 6779 6865 6948 7044 7214 7305 7397 7483 7597 7667 7743 7821 7904 10780 10873 10964 11072 11161 11295 11407 11498 11597 11757 11847 11961 12047 12131 12238"
