Version,11.0
EXT Filename,C:\Users\shimadzu\Desktop\Experiment Data\xxk-graduate\txtfile\test1\sub4.csv
Date,
Records,240
Data Folder,
.OMM Filename,
.PROT Filename,60-60-60.pro
Gain Pattern Filename,
Start Time,Protocol Type,Pre.Rest,Task,Pos.Rest
00:00:01.91,1,45.000000,45.000000,0.000000
00:00:03.96,11,45.000000,45.000000,0.000000
00:00:08.39,1,45.000000,45.000000,0.000000
00:00:10.48,11,45.000000,45.000000,0.000000
00:00:13.14,1,45.000000,45.000000,0.000000
00:00:15.16,11,45.000000,45.000000,0.000000
00:00:16.74,1,45.000000,45.000000,0.000000
00:00:18.86,11,45.000000,45.000000,0.000000
00:00:20.48,1,45.000000,45.000000,0.000000
00:00:22.57,11,45.000000,45.000000,0.000000
00:00:23.58,1,45.000000,45.000000,0.000000
00:00:25.60,11,45.000000,45.000000,0.000000
00:00:27.54,1,45.000000,45.000000,0.000000
00:00:29.63,11,45.000000,45.000000,0.000000
00:00:32.36,1,45.000000,45.000000,0.000000
00:00:34.45,11,45.000000,45.000000,0.000000
00:00:35.86,1,45.000000,45.000000,0.000000
00:00:37.94,11,45.000000,45.000000,0.000000
00:00:39.56,1,45.000000,45.000000,0.000000
00:00:41.54,11,45.000000,45.000000,0.000000
00:00:42.95,1,45.000000,45.000000,0.000000
00:00:45.07,11,45.000000,45.000000,0.000000
00:00:46.80,1,45.000000,45.000000,0.000000
00:00:48.89,11,45.000000,45.000000,0.000000
00:00:51.12,1,45.000000,45.000000,0.000000
00:00:53.14,11,45.000000,45.000000,0.000000
00:00:54.76,1,45.000000,45.000000,0.000000
00:00:56.88,11,45.000000,45.000000,0.000000
00:00:58.07,1,45.000000,45.000000,0.000000
00:01:00.19,11,45.000000,45.000000,0.000000
00:01:01.45,2,45.000000,45.000000,0.000000
00:01:03.58,22,45.000000,45.000000,0.000000
00:01:05.20,2,45.000000,45.000000,0.000000
00:01:07.18,22,45.000000,45.000000,0.000000
00:01:09.19,2,45.000000,45.000000,0.000000
00:01:11.28,22,45.000000,45.000000,0.000000
00:01:13.12,2,45.000000,45.000000,0.000000
00:01:15.20,22,45.000000,45.000000,0.000000
00:01:18.48,2,45.000000,45.000000,0.000000
00:01:20.57,22,45.000000,45.000000,0.000000
00:01:22.19,2,45.000000,45.000000,0.000000
00:01:24.31,22,45.000000,45.000000,0.000000
00:01:28.92,2,45.000000,45.000000,0.000000
00:01:31.04,22,45.000000,45.000000,0.000000
00:01:33.17,2,45.000000,45.000000,0.000000
00:01:35.26,22,45.000000,45.000000,0.000000
00:01:36.70,2,45.000000,45.000000,0.000000
00:01:38.78,22,45.000000,45.000000,0.000000
00:01:40.84,2,45.000000,45.000000,0.000000
00:01:42.85,22,45.000000,45.000000,0.000000
00:01:44.36,2,45.000000,45.000000,0.000000
00:01:46.49,22,45.000000,45.000000,0.000000
00:01:48.00,2,45.000000,45.000000,0.000000
00:01:50.02,22,45.000000,45.000000,0.000000
00:01:54.30,2,45.000000,45.000000,0.000000
00:01:56.28,22,45.000000,45.000000,0.000000
00:01:58.30,2,45.000000,45.000000,0.000000
00:02:00.38,22,45.000000,45.000000,0.000000
00:02:02.51,2,45.000000,45.000000,0.000000
00:02:04.63,22,45.000000,45.000000,0.000000
00:02:05.71,3,45.000000,45.000000,0.000000
00:02:07.80,33,45.000000,45.000000,0.000000
00:02:08.99,3,45.000000,45.000000,0.000000
00:02:11.11,33,45.000000,45.000000,0.000000
00:02:14.24,3,45.000000,45.000000,0.000000
00:02:16.37,33,45.000000,45.000000,0.000000
00:02:18.06,3,45.000000,45.000000,0.000000
00:02:20.04,33,45.000000,45.000000,0.000000
00:02:25.26,3,45.000000,45.000000,0.000000
00:02:27.35,33,45.000000,45.000000,0.000000
00:02:28.36,3,45.000000,45.000000,0.000000
00:02:30.37,33,45.000000,45.000000,0.000000
00:02:31.60,3,45.000000,45.000000,0.000000
00:02:33.68,33,45.000000,45.000000,0.000000
00:02:34.98,3,45.000000,45.000000,0.000000
00:02:37.00,33,45.000000,45.000000,0.000000
00:02:37.90,3,45.000000,45.000000,0.000000
00:02:39.91,33,45.000000,45.000000,0.000000
00:02:42.04,3,45.000000,45.000000,0.000000
00:02:44.05,33,45.000000,45.000000,0.000000
00:02:45.85,3,45.000000,45.000000,0.000000
00:02:47.98,33,45.000000,45.000000,0.000000
00:02:49.24,3,45.000000,45.000000,0.000000
00:02:51.25,33,45.000000,45.000000,0.000000
00:02:53.99,3,45.000000,45.000000,0.000000
00:02:55.97,33,45.000000,45.000000,0.000000
00:02:57.37,3,45.000000,45.000000,0.000000
00:02:59.50,33,45.000000,45.000000,0.000000
00:03:02.12,3,45.000000,45.000000,0.000000
00:03:04.10,33,45.000000,45.000000,0.000000
00:03:05.72,1,45.000000,45.000000,0.000000
00:03:07.70,11,45.000000,45.000000,0.000000
00:03:10.87,1,45.000000,45.000000,0.000000
00:03:12.96,11,45.000000,45.000000,0.000000
00:03:14.15,1,45.000000,45.000000,0.000000
00:03:16.27,11,45.000000,45.000000,0.000000
