"","onset","scans"
"1",1,"52 137 247 456 624 735 847 981 1099 1207 1322 1440 1568 1725 1825 5440 5563 5654 5757 5857 5991 6109 6220 6315 6409 6509 6649 6790 6881 6970"
"2",11,"107 193 302 511 681 792 902 1039 1157 1263 1377 1495 1626 1780 1883 5497 5618 5712 5816 5916 6049 6167 6279 6373 6465 6565 6706 6846 6936 7028"
"3",2,"1923 2017 2126 2287 2390 2490 2622 2744 2870 2996 3111 3239 3343 3557 3747 10259 10348 10431 10537 10634 10754 10838 10926 11014 11094 11178 11281 11372 11458 11555"
"4",22,"1978 2075 2184 2342 2448 2548 2677 2800 2926 3055 3169 3297 3401 3616 3802 10317 10403 10489 10595 10689 10812 10894 10984 11153 11233 11336 11428 11514 11610"
"5",3,"3867 3944 4070 4147 4264 4358 4453 4530 4613 4710 4801 4899 5082 5211 5348 8689 8769 8838 8915 8983 9057 9172 9249 9321 9529 9623 9710 9802 10022 10154"
"6",33,"3925 3999 4128 4203 4323 4416 4508 4588 4671 4767 4858 4955 5141 5269 5407 8746 8824 8896 8970 9042 9113 9227 9304 9376 9587 9679 9768 9860 10077 10211"
"7",4,"7067 7193 7330 7462 7568 7693 7790 7922 8008 8137 8245 8345 8448 8523 8594 11661 11776 11876 11976 12082 12164 12256 12347 12477 12582 12683 12808 12880 12951 13034"
"8",44,"7124 7248 7388 7519 7623 7751 7845 7977 8063 8194 8300 8404 8507 8578 8650 11719 11833 11931 12032 12137 12222 12314 12406 12532 12640 12737 12863 12938 13009 13092"
